date,totalLiquidityUSD
2023-04-29 00:00:00,2917610461
2023-04-30 00:00:00,2923049550
2023-05-01 00:00:00,2890605433
2023-05-02 00:00:00,2832237588
2023-05-03 00:00:00,2873064844
2023-05-04 00:00:00,2929972556
2023-05-05 00:00:00,2904050979
2023-05-06 00:00:00,3006779562
2023-05-07 00:00:00,2922594509
2023-05-08 00:00:00,2906277731
2023-05-09 00:00:00,2845338569
2023-05-10 00:00:00,2868388170
2023-05-11 00:00:00,2846202124
2023-05-12 00:00:00,2828891208
2023-05-13 00:00:00,2854958479
2023-05-14 00:00:00,2859198291
2023-05-15 00:00:00,2863901613
2023-05-16 00:00:00,2910026007
2023-05-17 00:00:00,2927964579
2023-05-18 00:00:00,2930936913
2023-05-19 00:00:00,2911904219
2023-05-20 00:00:00,2910672045
2023-05-21 00:00:00,2934937891
2023-05-22 00:00:00,2903113576
2023-05-23 00:00:00,2929761874
2023-05-24 00:00:00,3013817450
2023-05-25 00:00:00,2923744415
2023-05-26 00:00:00,2944087648
2023-05-27 00:00:00,2951080610
2023-05-28 00:00:00,2963349904
2023-05-29 00:00:00,3027071191
2023-05-30 00:00:00,2976364700
2023-05-31 00:00:00,2977838698
2023-06-01 00:00:00,2940020804
2023-06-02 00:00:00,2936442899
2023-06-03 00:00:00,2957886003
2023-06-04 00:00:00,2972764879
2023-06-05 00:00:00,2967922055
2023-06-06 00:00:00,2845498964
2023-06-07 00:00:00,2929691050
2023-06-08 00:00:00,2859452567
2023-06-09 00:00:00,2870678711
2023-06-10 00:00:00,2884961118
2023-06-11 00:00:00,2723522264
2023-06-12 00:00:00,2724461601
2023-06-13 00:00:00,2698730155
2023-06-14 00:00:00,2707683229
2023-06-15 00:00:00,2580520850
2023-06-16 00:00:00,2577251527
2023-06-17 00:00:00,2630648713
2023-06-18 00:00:00,2675486031
2023-06-19 00:00:00,2674074491
2023-06-20 00:00:00,2697521677
2023-06-21 00:00:00,2763874126
2023-06-22 00:00:00,2862294375
2023-06-23 00:00:00,2839155711
2023-06-24 00:00:00,2832116162
2023-06-25 00:00:00,2802177076
2023-06-26 00:00:00,2816034751
2023-06-27 00:00:00,2785962129
2023-06-28 00:00:00,2796389283
2023-06-29 00:00:00,2753523652
2023-06-30 00:00:00,2781352885
2023-07-01 00:00:00,2850712197
2023-07-02 00:00:00,2853579103
2023-07-03 00:00:00,2868548607
2023-07-04 00:00:00,2887424232
2023-07-05 00:00:00,2869779668
2023-07-06 00:00:00,2859298082
2023-07-07 00:00:00,2805301939
2023-07-08 00:00:00,2837847156
2023-07-09 00:00:00,2829177882
2023-07-10 00:00:00,2829229094
2023-07-11 00:00:00,2837841297
2023-07-12 00:00:00,2841224200
2023-07-13 00:00:00,2833206460
2023-07-14 00:00:00,2656863097
2023-07-15 00:00:00,2598589622
2023-07-16 00:00:00,2608660489
2023-07-17 00:00:00,2617155683
2023-07-18 00:00:00,2617967841
2023-07-19 00:00:00,2598908067
2023-07-20 00:00:00,2601290784
2023-07-21 00:00:00,2599188672
2023-07-22 00:00:00,2610715963
2023-07-23 00:00:00,2586665719
2023-07-24 00:00:00,2609364147
2023-07-25 00:00:00,2573916476
2023-07-26 00:00:00,2551155267
2023-07-27 00:00:00,2573336164
2023-07-28 00:00:00,2585206682
2023-07-29 00:00:00,2585139400
2023-07-30 00:00:00,2584056010
2023-07-31 00:00:00,2572712135
2023-08-01 00:00:00,2538533462
2023-08-02 00:00:00,2556509537
2023-08-03 00:00:00,2525468426
2023-08-04 00:00:00,2501342068
2023-08-05 00:00:00,2460488028
2023-08-06 00:00:00,2464266898
2023-08-07 00:00:00,2462881906
2023-08-08 00:00:00,2475455024
2023-08-09 00:00:00,2505763793
2023-08-10 00:00:00,2500636052
2023-08-11 00:00:00,2493566525
2023-08-12 00:00:00,2499115034
2023-08-13 00:00:00,2514889324
2023-08-14 00:00:00,2503969775
2023-08-15 00:00:00,2507245822
2023-08-16 00:00:00,2488205939
2023-08-17 00:00:00,2422603440
2023-08-18 00:00:00,2259705106
2023-08-19 00:00:00,2207887079
2023-08-23 00:00:00,2215388457
2023-08-24 00:00:00,2287635166
2023-08-25 00:00:00,2257363880
2023-08-26 00:00:00,2249630161
2023-08-27 00:00:00,2253292394
2023-08-28 00:00:00,2202888928
2023-08-29 00:00:00,2203891978
2023-08-30 00:00:00,2245722228
2023-08-31 00:00:00,2232141671
2023-09-01 00:00:00,2161240184
2023-09-02 00:00:00,2141727753
2023-09-03 00:00:00,2140639281
2023-09-04 00:00:00,2144588319
2023-09-05 00:00:00,2139534658
2023-09-06 00:00:00,2144401533
2023-09-07 00:00:00,2170963577
2023-09-08 00:00:00,2191350089
2023-09-09 00:00:00,2155574877
2023-09-10 00:00:00,2145293646
2023-09-11 00:00:00,2130757897
2023-09-12 00:00:00,2045820867
2023-09-13 00:00:00,2073717301
2023-09-14 00:00:00,2114546668
2023-09-15 00:00:00,2129220030
2023-09-16 00:00:00,2150401760
2023-09-17 00:00:00,2153611227
2023-09-18 00:00:00,2121574916
2023-09-19 00:00:00,2127740009
2023-09-20 00:00:00,2139668110
2023-09-21 00:00:00,2126271451
2023-09-22 00:00:00,2088703393
2023-09-23 00:00:00,2101482366
2023-09-24 00:00:00,2096811180
2023-09-25 00:00:00,2080589482
2023-09-26 00:00:00,2091081694
2023-09-27 00:00:00,2088314898
2023-09-28 00:00:00,2086328994
2023-09-29 00:00:00,2102251752
